epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,lr,batch_size,max_batch_size,worker_max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,score__calls,partial_fit__calls,n_workers,damping_,batch_size_,lr_,partial_fit__time,score__acc,score__loss,score__time
0,0.5884999632835388,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",196,50176,1,1,2,256,256,0.1,70.50643467903137,0.5884999632835388,1.1521761596679687,4.92039155960083
1,0.6516000032424927,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",392,100352,2,2,2,256,256,0.1,68.1646876335144,0.6516000032424927,0.9844200073242187,4.902915000915527
2,0.7285000085830688,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",588,150528,3,3,2,256,256,0.1,67.72878742218018,0.7285000085830688,0.80854052734375,4.896162033081055
3,0.7662000060081482,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",784,200704,4,4,2,256,256,0.1,68.0445237159729,0.7662000060081482,0.6830350463867187,4.945371389389038
4,0.7896999716758728,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",980,250880,5,5,2,256,256,0.1,68.37531805038452,0.7896999716758728,0.6296020690917968,4.898757696151733
5,0.7972999811172485,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",1176,301056,6,6,2,256,256,0.1,67.682199716568,0.7972999811172485,0.5989059997558593,4.920836448669434
6,0.8024999499320984,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",1372,351232,7,7,2,256,256,0.1,67.66899013519287,0.8024999499320984,0.5876081237792968,4.903290033340454
7,0.8089999556541443,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",1568,401408,8,8,2,256,256,0.1,68.02103209495544,0.8089999556541443,0.5663000549316406,4.9107985496521
8,0.8148999810218811,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",1764,451584,9,9,2,256,256,0.1,68.46961307525635,0.8148999810218811,0.5412092163085938,4.946297645568848
9,0.8120999932289124,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",1960,501760,10,10,2,256,256,0.1,67.63531470298767,0.8120999932289124,0.5666390625,4.911834239959717
10,0.8294000029563904,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",2156,551936,11,11,2,256,256,0.1,67.59608340263367,0.8294000029563904,0.5044782318115234,4.9176130294799805
11,0.8185999989509583,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",2352,602112,13,12,2,256,256,0.1,68.07774949073792,0.8185999989509583,0.5462722045898437,4.971047401428223
12,0.8331999778747559,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",2548,652288,14,13,2,256,256,0.1,68.47539830207825,0.8331999778747559,0.5065474060058593,4.9205381870269775
13,0.8416999578475952,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",2744,702464,15,14,2,256,256,0.1,67.66240000724792,0.8416999578475952,0.47001068115234373,4.941464185714722
14,0.8327999711036682,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",2940,752640,16,15,2,256,256,0.1,67.782062292099,0.8327999711036682,0.4976129852294922,4.895733118057251
15,0.832099974155426,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",3136,802816,17,16,2,256,256,0.1,68.11385941505432,0.832099974155426,0.5114705657958984,4.913741827011108
16,0.8470999598503113,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",3332,852992,18,17,2,256,256,0.1,68.4096884727478,0.8470999598503113,0.4544111907958984,4.950538396835327
17,0.8425999879837036,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",3528,903168,19,18,2,256,256,0.1,67.77500820159912,0.8425999879837036,0.4750873992919922,4.887750864028931
18,0.8384999632835388,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",3724,953344,20,19,2,256,256,0.1,67.71200060844421,0.8384999632835388,0.48098025512695314,4.907010078430176
19,0.8499999642372131,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",3920,1003520,21,20,2,256,256,0.1,68.24071621894836,0.8499999642372131,0.43912332458496095,4.979286193847656
20,0.833299994468689,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",4116,1053696,22,21,2,256,256,0.1,68.36625385284424,0.833299994468689,0.4955285247802734,4.936143636703491
21,0.849399983882904,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.1,256,5120,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8040/10' processes=1 threads=4, memory=16.48 GB>",4312,1103872,23,22,2,256,256,0.1,67.958811044693,0.849399983882904,0.4515823211669922,4.88692045211792
